Year_Month,Contract_region,Card_type,Trip
2016-08,Night Ride 90,Child/Youth Single Bus Trip 3,13
2016-08,Night Ride 90,Concession,982
2016-08,Night Ride 90,Senior/Pensioner,261
2016-08,Outer Sydney Metro Contract 1,Adult,2632
2016-08,Outer Sydney Metro Contract 1,Adult Single Bus Trip 1,347
2016-08,Outer Sydney Metro Contract 1,Adult Single Bus Trip 2,324
2016-08,Outer Sydney Metro Contract 1,Adult Single Bus Trip 3,1453
2016-08,Outer Sydney Metro Contract 1,Child/Youth,1799
2016-08,Outer Sydney Metro Contract 1,Child/Youth Single Bus Trip 1,233
2016-08,Outer Sydney Metro Contract 1,Child/Youth Single Bus Trip 2,76
2016-08,Outer Sydney Metro Contract 1,Child/Youth Single Bus Trip 3,456
2016-08,Outer Sydney Metro Contract 1,Concession,1385
2016-08,Outer Sydney Metro Contract 1,Free Travel,136
2016-08,Outer Sydney Metro Contract 1,School Student,36770
2016-08,Outer Sydney Metro Contract 1,Senior/Pensioner,7082
2016-08,Outer Sydney Metro Contract 10,Adult,43670
2016-08,Outer Sydney Metro Contract 10,Adult Single Bus Trip 1,9036
2016-08,Outer Sydney Metro Contract 10,Adult Single Bus Trip 2,8047
2016-08,Outer Sydney Metro Contract 10,Adult Single Bus Trip 3,3362
2016-08,Outer Sydney Metro Contract 10,Child/Youth,20750
2016-08,Outer Sydney Metro Contract 10,Child/Youth Single Bus Trip 1,5341
2016-08,Outer Sydney Metro Contract 10,Child/Youth Single Bus Trip 2,2234
2016-08,Outer Sydney Metro Contract 10,Child/Youth Single Bus Trip 3,703
2016-08,Outer Sydney Metro Contract 10,Concession,17325
2016-08,Outer Sydney Metro Contract 10,Free Travel,1220
2016-08,Outer Sydney Metro Contract 10,School Student,217971
2016-08,Outer Sydney Metro Contract 10,Senior/Pensioner,105311
2016-08,Outer Sydney Metro Contract 11,Adult,616
2016-08,Outer Sydney Metro Contract 11,Adult Single Bus Trip 1,109
2016-08,Outer Sydney Metro Contract 11,Adult Single Bus Trip 2,71
2016-08,Outer Sydney Metro Contract 11,Adult Single Bus Trip 3,34
2016-08,Outer Sydney Metro Contract 11,Child/Youth,299
2016-08,Outer Sydney Metro Contract 11,Child/Youth Single Bus Trip 1,12
2016-08,Outer Sydney Metro Contract 11,Child/Youth Single Bus Trip 2,42
2016-08,Outer Sydney Metro Contract 11,Child/Youth Single Bus Trip 3,12
2016-08,Outer Sydney Metro Contract 11,Concession,126
2016-08,Outer Sydney Metro Contract 11,Free Travel,6
2016-08,Outer Sydney Metro Contract 11,School Student,7684
2016-08,Outer Sydney Metro Contract 11,Senior/Pensioner,746
2016-08,Outer Sydney Metro Contract 12,Adult,10256
2016-08,Outer Sydney Metro Contract 12,Adult Single Bus Trip 1,1262
2016-08,Outer Sydney Metro Contract 12,Adult Single Bus Trip 2,1708
2016-08,Outer Sydney Metro Contract 12,Adult Single Bus Trip 3,927
2016-08,Outer Sydney Metro Contract 12,Child/Youth,3225
2016-08,Outer Sydney Metro Contract 12,Child/Youth Single Bus Trip 1,279
2016-08,Outer Sydney Metro Contract 12,Child/Youth Single Bus Trip 2,207
2016-08,Outer Sydney Metro Contract 12,Child/Youth Single Bus Trip 3,133
2016-08,Outer Sydney Metro Contract 12,Concession,3747
2016-08,Outer Sydney Metro Contract 12,Free Travel,204
2016-08,Outer Sydney Metro Contract 12,School Student,22988
2016-08,Outer Sydney Metro Contract 12,Senior/Pensioner,20377
2016-08,Outer Sydney Metro Contract 2,Adult,11461
2016-08,Outer Sydney Metro Contract 2,Adult Single Bus Trip 1,2809
2016-08,Outer Sydney Metro Contract 2,Adult Single Bus Trip 2,1919
2016-08,Outer Sydney Metro Contract 2,Adult Single Bus Trip 3,2009
2016-08,Outer Sydney Metro Contract 2,Child/Youth,7487
2016-08,Outer Sydney Metro Contract 2,Child/Youth Single Bus Trip 1,719
2016-08,Outer Sydney Metro Contract 2,Child/Youth Single Bus Trip 2,426
2016-08,Outer Sydney Metro Contract 2,Child/Youth Single Bus Trip 3,495
2016-08,Outer Sydney Metro Contract 2,Concession,4112
2016-08,Outer Sydney Metro Contract 2,Free Travel,482
2016-08,Outer Sydney Metro Contract 2,School Student,175183
2016-08,Outer Sydney Metro Contract 2,Senior/Pensioner,29523
2016-08,Outer Sydney Metro Contract 3,Adult,4471
2016-08,Outer Sydney Metro Contract 3,Adult Single Bus Trip 1,877
2016-08,Outer Sydney Metro Contract 3,Adult Single Bus Trip 2,1419
2016-08,Outer Sydney Metro Contract 3,Adult Single Bus Trip 3,1721
2016-08,Outer Sydney Metro Contract 3,Child/Youth,1341
2016-08,Outer Sydney Metro Contract 3,Child/Youth Single Bus Trip 1,135
2016-08,Outer Sydney Metro Contract 3,Child/Youth Single Bus Trip 2,586
2016-08,Outer Sydney Metro Contract 3,Child/Youth Single Bus Trip 3,286
2016-08,Outer Sydney Metro Contract 3,Concession,1394
2016-08,Outer Sydney Metro Contract 3,Free Travel,98
2016-08,Outer Sydney Metro Contract 3,School Student,25163
2016-08,Outer Sydney Metro Contract 3,Senior/Pensioner,8825
2016-08,Outer Sydney Metro Contract 4,Adult,15736
2016-08,Outer Sydney Metro Contract 4,Adult Single Bus Trip 1,1870
2016-08,Outer Sydney Metro Contract 4,Adult Single Bus Trip 2,1957
2016-08,Outer Sydney Metro Contract 4,Adult Single Bus Trip 3,428
2016-08,Outer Sydney Metro Contract 4,Child/Youth,4315
2016-08,Outer Sydney Metro Contract 4,Child/Youth Single Bus Trip 1,334
2016-08,Outer Sydney Metro Contract 4,Child/Youth Single Bus Trip 2,516
2016-08,Outer Sydney Metro Contract 4,Child/Youth Single Bus Trip 3,126
2016-08,Outer Sydney Metro Contract 4,Concession,6316
2016-08,Outer Sydney Metro Contract 4,Free Travel,172
