Year_Month,Location,Card_type,Trip
2016-09,Fish Market Light Rail,Concession,1126
2016-09,Fish Market Light Rail,Free Travel,25
2016-09,Fish Market Light Rail,School Student,75
2016-09,Fish Market Light Rail,Senior/Pensioner,4594
2016-09,Fish Market Light Rail,Sgl Trip LR Adult,273
2016-09,Fish Market Light Rail,Sgl Trip LR Child/Youth,42
2016-09,Glebe Light Rail,Adult,11808
2016-09,Glebe Light Rail,Child/Youth,1972
2016-09,Glebe Light Rail,Concession,662
2016-09,Glebe Light Rail,Free Travel,15
2016-09,Glebe Light Rail,School Student,477
2016-09,Glebe Light Rail,Senior/Pensioner,1781
2016-09,Glebe Light Rail,Sgl Trip LR Adult,47
2016-09,Glebe Light Rail,Sgl Trip LR Child/Youth,41
2016-09,Hawthorne Light Rail,Adult,9037
2016-09,Hawthorne Light Rail,Child/Youth,1209
2016-09,Hawthorne Light Rail,Concession,664
2016-09,Hawthorne Light Rail,Free Travel,20
2016-09,Hawthorne Light Rail,School Student,187
2016-09,Hawthorne Light Rail,Senior/Pensioner,1292
2016-09,Hawthorne Light Rail,Sgl Trip LR Adult,62
2016-09,Hawthorne Light Rail,Sgl Trip LR Child/Youth,26
2016-09,John Street Square Light Rail,Adult,16222
2016-09,John Street Square Light Rail,Child/Youth,765
2016-09,John Street Square Light Rail,Concession,800
2016-09,John Street Square Light Rail,Free Travel,6
2016-09,John Street Square Light Rail,School Student,59
2016-09,John Street Square Light Rail,Senior/Pensioner,2666
2016-09,John Street Square Light Rail,Sgl Trip LR Adult,35
2016-09,John Street Square Light Rail,Sgl Trip LR Child/Youth,2
2016-09,Jubilee Park Light Rail,Adult,14142
2016-09,Jubilee Park Light Rail,Child/Youth,2717
2016-09,Jubilee Park Light Rail,Concession,568
2016-09,Jubilee Park Light Rail,Free Travel,46
2016-09,Jubilee Park Light Rail,School Student,728
2016-09,Jubilee Park Light Rail,Senior/Pensioner,1824
2016-09,Jubilee Park Light Rail,Sgl Trip LR Adult,75
2016-09,Jubilee Park Light Rail,Sgl Trip LR Child/Youth,53
2016-09,Leichhardt North Light Rail,Adult,8095
2016-09,Leichhardt North Light Rail,Child/Youth,1339
2016-09,Leichhardt North Light Rail,Concession,543
2016-09,Leichhardt North Light Rail,Free Travel,26
2016-09,Leichhardt North Light Rail,School Student,678
2016-09,Leichhardt North Light Rail,Senior/Pensioner,1103
2016-09,Leichhardt North Light Rail,Sgl Trip LR Adult,3
2016-09,Leichhardt North Light Rail,Sgl Trip LR Child/Youth,1
2016-09,Lewisham West Light Rail,Adult,5370
2016-09,Lewisham West Light Rail,Child/Youth,1071
2016-09,Lewisham West Light Rail,Concession,436
2016-09,Lewisham West Light Rail,Free Travel,12
2016-09,Lewisham West Light Rail,School Student,218
2016-09,Lewisham West Light Rail,Senior/Pensioner,575
2016-09,Lilyfield Light Rail,Adult,10941
2016-09,Lilyfield Light Rail,Child/Youth,1548
2016-09,Lilyfield Light Rail,Concession,619
2016-09,Lilyfield Light Rail,Free Travel,8
2016-09,Lilyfield Light Rail,School Student,224
2016-09,Lilyfield Light Rail,Senior/Pensioner,2387
2016-09,Lilyfield Light Rail,Sgl Trip LR Adult,101
2016-09,Lilyfield Light Rail,Sgl Trip LR Child/Youth,63
2016-09,Marion Light Rail,Adult,6944
2016-09,Marion Light Rail,Child/Youth,969
2016-09,Marion Light Rail,Concession,433
2016-09,Marion Light Rail,Free Travel,4
2016-09,Marion Light Rail,School Student,56
2016-09,Marion Light Rail,Senior/Pensioner,1654
2016-09,Marion Light Rail,Sgl Trip LR Adult,49
2016-09,Marion Light Rail,Sgl Trip LR Child/Youth,14
2016-09,"Paddy's Markets Light Rail",Adult,41468
2016-09,"Paddy's Markets Light Rail",Child/Youth,3933
2016-09,"Paddy's Markets Light Rail",Concession,2804
2016-09,"Paddy's Markets Light Rail",Free Travel,69
2016-09,"Paddy's Markets Light Rail",School Student,16
2016-09,"Paddy's Markets Light Rail",Senior/Pensioner,13452
2016-09,"Paddy's Markets Light Rail",Sgl Trip LR Adult,279
2016-09,"Paddy's Markets Light Rail",Sgl Trip LR Child/Youth,55
2016-09,Pyrmont Bay Light Rail,Adult,43277
2016-09,Pyrmont Bay Light Rail,Child/Youth,2116
2016-09,Pyrmont Bay Light Rail,Concession,1409
2016-09,Pyrmont Bay Light Rail,Free Travel,76
2016-09,Pyrmont Bay Light Rail,School Student,7
2016-09,Pyrmont Bay Light Rail,Senior/Pensioner,4120
2016-09,Pyrmont Bay Light Rail,Sgl Trip LR Adult,198
2016-09,Pyrmont Bay Light Rail,Sgl Trip LR Child/Youth,90
2016-09,Rozelle Bay Light Rail,Adult,8201
2016-09,Rozelle Bay Light Rail,Child/Youth,859
2016-09,Rozelle Bay Light Rail,Concession,401
2016-09,Rozelle Bay Light Rail,Free Travel,24
2016-09,Rozelle Bay Light Rail,School Student,21
2016-09,Rozelle Bay Light Rail,Senior/Pensioner,1412
2016-09,Rozelle Bay Light Rail,Sgl Trip LR Adult,51
2016-09,Rozelle Bay Light Rail,Sgl Trip LR Child/Youth,36
2016-09,Taverners Hill Light Rail,Adult,3786
2016-09,Taverners Hill Light Rail,Child/Youth,565
2016-09,Taverners Hill Light Rail,Concession,261
2016-09,Taverners Hill Light Rail,Free Travel,5
2016-09,Taverners Hill Light Rail,School Student,116
2016-09,Taverners Hill Light Rail,Senior/Pensioner,708
