Year_Month,Route,Card_type,Trip
2016-12,F2 Taronga Zoo,Concession,2450
2016-12,F2 Taronga Zoo,Employee,301
2016-12,F2 Taronga Zoo,Free Travel,127
2016-12,F2 Taronga Zoo,School Student,6
2016-12,F2 Taronga Zoo,Senior/Pensioner,10176
2016-12,F2 Taronga Zoo,Sgl Trip Ferry Adult,5902
2016-12,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,1600
2016-12,F3 Parramatta River,Adult,205691
2016-12,F3 Parramatta River,Child/Youth,24752
2016-12,F3 Parramatta River,Concession,5238
2016-12,F3 Parramatta River,Employee,1064
2016-12,F3 Parramatta River,Free Travel,367
2016-12,F3 Parramatta River,School Student,176
2016-12,F3 Parramatta River,Senior/Pensioner,37820
2016-12,F3 Parramatta River,Sgl Trip Ferry Adult,11064
2016-12,F3 Parramatta River,Sgl Trip Ferry Child/Youth,3122
2016-12,F4 Darling Harbour,Adult,136935
2016-12,F4 Darling Harbour,Child/Youth,24077
2016-12,F4 Darling Harbour,Concession,2991
2016-12,F4 Darling Harbour,Employee,726
2016-12,F4 Darling Harbour,Free Travel,269
2016-12,F4 Darling Harbour,School Student,52
2016-12,F4 Darling Harbour,Senior/Pensioner,23360
2016-12,F4 Darling Harbour,Sgl Trip Ferry Adult,10832
2016-12,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,2936
2016-12,F5 Neutral Bay,Adult,38196
2016-12,F5 Neutral Bay,Child/Youth,2499
2016-12,F5 Neutral Bay,Concession,1053
2016-12,F5 Neutral Bay,Employee,197
2016-12,F5 Neutral Bay,Free Travel,80
2016-12,F5 Neutral Bay,School Student,1
2016-12,F5 Neutral Bay,Senior/Pensioner,9640
2016-12,F5 Neutral Bay,Sgl Trip Ferry Adult,1476
2016-12,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,327
2016-12,F6 Mosman Bay,Adult,57044
2016-12,F6 Mosman Bay,Child/Youth,4994
2016-12,F6 Mosman Bay,Concession,1698
2016-12,F6 Mosman Bay,Employee,415
2016-12,F6 Mosman Bay,Free Travel,129
2016-12,F6 Mosman Bay,School Student,17
2016-12,F6 Mosman Bay,Senior/Pensioner,13820
2016-12,F6 Mosman Bay,Sgl Trip Ferry Adult,1897
2016-12,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,502
2016-12,F7 Eastern Suburbs,Adult,109764
2016-12,F7 Eastern Suburbs,Child/Youth,9057
2016-12,F7 Eastern Suburbs,Concession,2721
2016-12,F7 Eastern Suburbs,Employee,533
2016-12,F7 Eastern Suburbs,Free Travel,178
2016-12,F7 Eastern Suburbs,School Student,26
2016-12,F7 Eastern Suburbs,Senior/Pensioner,16309
2016-12,F7 Eastern Suburbs,Sgl Trip Ferry Adult,4376
2016-12,F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,939
2017-01,118 Newcastle,Adult,22873
2017-01,118 Newcastle,Child/Youth,6876
2017-01,118 Newcastle,Concession,850
2017-01,118 Newcastle,Employee,374
2017-01,118 Newcastle,Free Travel,228
2017-01,118 Newcastle,School Student,54
2017-01,118 Newcastle,Senior/Pensioner,8009
2017-01,F1 Manly,Adult,437077
2017-01,F1 Manly,Child/Youth,83388
2017-01,F1 Manly,Concession,10894
2017-01,F1 Manly,Employee,2406
2017-01,F1 Manly,Free Travel,833
2017-01,F1 Manly,School Student,17
2017-01,F1 Manly,Senior/Pensioner,82368
2017-01,F1 Manly,Sgl Trip Ferry Adult,39245
2017-01,F1 Manly,Sgl Trip Ferry Child/Youth,8852
2017-01,F2 Taronga Zoo,Adult,100751
2017-01,F2 Taronga Zoo,Child/Youth,26182
2017-01,F2 Taronga Zoo,Concession,2579
2017-01,F2 Taronga Zoo,Employee,354
2017-01,F2 Taronga Zoo,Free Travel,93
2017-01,F2 Taronga Zoo,School Student,1
2017-01,F2 Taronga Zoo,Senior/Pensioner,12826
2017-01,F2 Taronga Zoo,Sgl Trip Ferry Adult,6571
2017-01,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,2031
2017-01,F3 Parramatta River,Adult,229648
2017-01,F3 Parramatta River,Child/Youth,39487
2017-01,F3 Parramatta River,Concession,5871
2017-01,F3 Parramatta River,Employee,1090
2017-01,F3 Parramatta River,Free Travel,378
2017-01,F3 Parramatta River,School Student,40
2017-01,F3 Parramatta River,Senior/Pensioner,44549
2017-01,F3 Parramatta River,Sgl Trip Ferry Adult,11673
2017-01,F3 Parramatta River,Sgl Trip Ferry Child/Youth,4171
2017-01,F4 Darling Harbour,Adult,159297
2017-01,F4 Darling Harbour,Child/Youth,38932
2017-01,F4 Darling Harbour,Concession,3369
2017-01,F4 Darling Harbour,Employee,769
2017-01,F4 Darling Harbour,Free Travel,334
2017-01,F4 Darling Harbour,School Student,14
2017-01,F4 Darling Harbour,Senior/Pensioner,31014
2017-01,F4 Darling Harbour,Sgl Trip Ferry Adult,11861
2017-01,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,4128
2017-01,F5 Neutral Bay,Adult,38287
2017-01,F5 Neutral Bay,Child/Youth,3198
2017-01,F5 Neutral Bay,Concession,944
